ts_utc,h1_bar_utc,pair,dir
2026-06-26T16:00:00+00:00,2026-06-26T16:00:00+00:00,USDJPY,LONG
2026-06-28T21:00:00+00:00,2026-06-28T21:00:00+00:00,GBPCHF,LONG
2026-06-28T21:00:00+00:00,2026-06-28T21:00:00+00:00,USDJPY,LONG
2026-06-29T06:00:00+00:00,2026-06-29T06:00:00+00:00,GBPCAD,LONG
2026-06-29T09:00:00+00:00,2026-06-29T09:00:00+00:00,USDJPY,LONG
2026-06-29T10:00:00+00:00,2026-06-29T10:00:00+00:00,GBPCAD,LONG
2026-06-29T12:00:00+00:00,2026-06-29T12:00:00+00:00,GBPCHF,LONG
2026-06-29T13:00:00+00:00,2026-06-29T13:00:00+00:00,GBPCAD,LONG
2026-06-29T13:00:00+00:00,2026-06-29T13:00:00+00:00,USDJPY,LONG
2026-06-29T14:00:00+00:00,2026-06-29T14:00:00+00:00,GBPCHF,LONG
2026-06-29T18:00:00+00:00,2026-06-29T18:00:00+00:00,USDJPY,LONG
2026-06-29T20:00:00+00:00,2026-06-29T20:00:00+00:00,GBPCAD,LONG
2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00,USDJPY,LONG
2026-06-30T05:00:00+00:00,2026-06-30T05:00:00+00:00,GBPCHF,LONG
2026-06-30T15:00:00+00:00,2026-06-30T15:00:00+00:00,USDJPY,LONG
2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,USDJPY,LONG
2026-07-01T03:00:00+00:00,2026-07-01T03:00:00+00:00,USDJPY,LONG
2026-07-01T07:00:00+00:00,2026-07-01T07:00:00+00:00,GBPCHF,LONG
2026-07-01T08:00:00+00:00,2026-07-01T08:00:00+00:00,GBPCAD,LONG
2026-07-01T12:00:00+00:00,2026-07-01T12:00:00+00:00,GBPCHF,LONG
2026-07-01T14:00:00+00:00,2026-07-01T14:00:00+00:00,GBPCAD,LONG
2026-07-01T19:00:00+00:00,2026-07-01T19:00:00+00:00,GBPCHF,LONG
2026-07-02T03:00:00+00:00,2026-07-02T03:00:00+00:00,GBPCAD,LONG
2026-07-02T05:00:00+00:00,2026-07-02T05:00:00+00:00,GBPCAD,LONG
2026-07-02T07:00:00+00:00,2026-07-02T07:00:00+00:00,GBPCAD,LONG
2026-07-02T14:00:00+00:00,2026-07-02T14:00:00+00:00,GBPCAD,LONG
2026-07-03T07:00:00+00:00,2026-07-03T07:00:00+00:00,GBPCAD,LONG
2026-07-03T11:00:00+00:00,2026-07-03T11:00:00+00:00,GBPCAD,LONG
2026-07-03T14:00:00+00:00,2026-07-03T14:00:00+00:00,USDJPY,LONG
2026-07-03T16:00:00+00:00,2026-07-03T16:00:00+00:00,GBPCHF,LONG
2026-07-03T19:00:00+00:00,2026-07-03T19:00:00+00:00,GBPCHF,LONG
2026-07-06T00:00:00+00:00,2026-07-06T00:00:00+00:00,GBPJPY,LONG
2026-07-06T00:00:00+00:00,2026-07-06T00:00:00+00:00,USDJPY,LONG
2026-07-06T04:00:00+00:00,2026-07-06T04:00:00+00:00,USDJPY,LONG
2026-07-06T05:00:00+00:00,2026-07-06T05:00:00+00:00,GBPCHF,LONG
2026-07-06T07:00:00+00:00,2026-07-06T07:00:00+00:00,GBPCAD,LONG
2026-07-06T09:00:00+00:00,2026-07-06T09:00:00+00:00,USDJPY,LONG
2026-07-06T10:00:00+00:00,2026-07-06T10:00:00+00:00,GBPCHF,LONG
2026-07-06T12:00:00+00:00,2026-07-06T12:00:00+00:00,GBPCAD,LONG
2026-07-06T12:00:00+00:00,2026-07-06T12:00:00+00:00,GBPJPY,LONG
2026-07-06T14:00:00+00:00,2026-07-06T14:00:00+00:00,GBPJPY,LONG
2026-07-06T16:00:00+00:00,2026-07-06T16:00:00+00:00,GBPCAD,LONG
2026-07-06T19:00:00+00:00,2026-07-06T19:00:00+00:00,GBPCHF,LONG
2026-07-07T00:00:00+00:00,2026-07-07T00:00:00+00:00,GBPCHF,LONG
2026-07-07T01:00:00+00:00,2026-07-07T01:00:00+00:00,GBPCAD,LONG
2026-07-07T05:00:00+00:00,2026-07-07T05:00:00+00:00,GBPCHF,LONG
2026-07-07T07:00:00+00:00,2026-07-07T07:00:00+00:00,GBPCHF,LONG
2026-07-07T21:00:00+00:00,2026-07-07T21:00:00+00:00,USDJPY,LONG
2026-07-07T23:00:00+00:00,2026-07-07T23:00:00+00:00,USDJPY,LONG
2026-07-08T08:00:00+00:00,2026-07-08T08:00:00+00:00,USDJPY,LONG
2026-07-08T13:00:00+00:00,2026-07-08T13:00:00+00:00,GBPCHF,LONG
2026-07-08T13:00:00+00:00,2026-07-08T13:00:00+00:00,GBPJPY,LONG
2026-07-08T14:00:00+00:00,2026-07-08T14:00:00+00:00,USDJPY,LONG
2026-07-08T16:00:00+00:00,2026-07-08T16:00:00+00:00,GBPCAD,LONG
2026-07-08T16:00:00+00:00,2026-07-08T16:00:00+00:00,GBPJPY,LONG
2026-07-09T06:00:00+00:00,2026-07-09T06:00:00+00:00,GBPCAD,LONG
2026-07-09T06:00:00+00:00,2026-07-09T06:00:00+00:00,GBPJPY,LONG
2026-07-09T06:00:00+00:00,2026-07-09T06:00:00+00:00,NZDCAD,LONG
2026-07-09T08:00:00+00:00,2026-07-09T08:00:00+00:00,NZDCHF,LONG
2026-07-09T08:00:00+00:00,2026-07-09T08:00:00+00:00,NZDJPY,LONG
2026-07-09T12:00:00+00:00,2026-07-09T12:00:00+00:00,NZDCAD,LONG
