ts_utc,h1_bar_utc,pair,dir
2026-07-31T06:05:30+00:00,2026-07-31T05:00:00+00:00,USDCHF,LONG
2026-07-31T10:05:30+00:00,2026-07-31T09:00:00+00:00,USDCHF,LONG
2026-07-31T21:06:15+00:00,2026-07-31T20:00:00+00:00,CHFJPY,SHORT
2026-08-03T01:05:30+00:00,2026-08-03T00:00:00+00:00,CHFJPY,SHORT
2026-08-06T07:05:38+00:00,2026-08-06T06:00:00+00:00,CHFJPY,SHORT
2026-08-06T10:05:32+00:00,2026-08-06T09:00:00+00:00,CHFJPY,SHORT
2026-08-10T13:05:39+00:00,2026-08-10T12:00:00+00:00,GBPCHF,LONG
2026-08-11T06:05:32+00:00,2026-08-11T05:00:00+00:00,GBPCHF,LONG
2026-08-12T04:05:39+00:00,2026-08-12T03:00:00+00:00,GBPCHF,LONG
2026-08-12T08:05:35+00:00,2026-08-12T07:00:00+00:00,GBPCHF,LONG
2026-08-13T04:05:35+00:00,2026-08-13T03:00:00+00:00,GBPCHF,LONG
2026-08-13T20:05:33+00:00,2026-08-13T19:00:00+00:00,GBPCHF,LONG
